Words,Polarity,Subjectivity
one,0,0
year,0,0
since,0,0
the,0,0
first,0.25,0.333333333
confirmed,0.4,1
case,0,0
of,0,0
covid9,0,0
in,0,0
an,0,0
ontario,0,0
a,0,0
new,0.136363636,0.454545455
report,0,0
by,0,0
thecanadian,0,0
civil,0,0
liberty,0,0
association,0,0
ccla,0,0
show,0,0
issue,0,0
like,0,0
overcrowding,0,0
persist,0,0
and,0,0
the,0,0
spread,0,0
of,0,0
variant,0,0
of,0,0
concern,0,0
outbreak,0,0
are,0,0
only,0,1
getting,0,0
ontario,0,0
reported,0,0
another,0,0
9,0,0
case,0,0
of,0,0
covid9,0,0
on,0,0
saturday,0,0
the,0,0
most,0.5,0.5
on,0,0
a,0,0
day,0,0
in,0,0
about,0,0
seven,0,0
weeksas,0,0
the,0,0
province,0,0
loosenedrestrictions,0,0
on,0,0
restaurant,0,0
in,0,0
some,0,0
of,0,0
the,0,0
hardesthit,0,0
region,0,0
a,0,0
person,0,0
ha,0,0
been,0,0
found,0,0
following,0,0.1
a,0,0
fire,0,0
at,0,0
an,0,0
apartment,0,0
building,0,0
in,0,0
mississauga,0,0
saturday,0,0
afternoon,0,0
police,0,0
say,0,0
a,0,0
ontario,0,0
ramp,0,0
up,0,0
it,0,0
immunization,0,0
effortsit,0,0
may,0,0
be,0,0
tempting,0,0
for,0,0
those,0,0
vaccinated,0,0
to,0,0
return,0,0
to,0,0
life,0,0
in,0,0
the,0,0
socalled,0,0
beforetimes,0,0
but,0,0
medical,0,0
expert,0,0
caution,0,0
a,0,0
first,0.25,0.333333333
dose,0,0
of,0,0
the,0,0
vaccineisnt,0,0
a,0,0
getoutofjailfree,0,0
card,0,0
spouse,0,0
waiting,0,0
for,0,0
their,0,0
loved,0.7,0.8
onesimmigration,0,0
paperwork,0,0
to,0,0
be,0,0
processed,0,0
for,0,0
over,0,0
a,0,0
yearare,0,0
speaking,0,0
out,0,0
after,0,0
they,0,0
say,0,0
application,0,0
sent,0,0
to,0,0
a,0,0
mississauga,0,0
ont,0,0
processing,0,0
office,0,0
have,0,0
stalled,0,0
completely,0.1,0.4
audio,0,0
spring,0,0
ha,0,0
arrived,0,0
here,0,0
are,0,0
binge,0,0
worthy,0.333333333,1
show,0,0
to,0,0
watch,0,0
this,0,0
season,0,0
history,0,0
month,0,0
videovideomeet,0,0
michael,0,0
london,0,0
one,0,0
of,0,0
toronto,0,0
interior,0,0
designer,0,0
ontario,0,0
to,0,0
expand,0,0
covid9,0,0
vaccine,0,0
program,0,0
a,0,0
province,0,0
see,0,0
new,0.136363636,0.454545455
case,0,0
school,0,0
in,0,0
dufferinpeel,0,0
catholic,0,0.1
board,0,0
to,0,0
covid9,0,0
outbreak,0,0
need,0,0
to,0,0
knowhow,0,0
to,0,0
get,0,0
a,0,0
covid9,0,0
vaccine,0,0
in,0,0
the,0,0
greater,0.5,0.5
toronto,0,0
area,0,0
if,0,0
you,0,0
qualify,0,0
ontario,0,0
to,0,0
finally,0,1
pull,0,0
the,0,0
plug,0,0
on,0,0
fax,0,0
machine,0,0
in,0,0
public,0,0.066666667
service,0,0
opinionto,0,0
help,0,0
end,0,0
the,0,0
pandemic,0,0
dont,0,0
pick,0,0
and,0,0
choose,0,0
take,0,0
the,0,0
first,0.25,0.333333333
vaccine,0,0
available,0.4,0.4
proposed,0,0
yongenorth,0,0
subway,0,0
extension,0,0
will,0,0
see,0,0
fewer,0,0
station,0,0
aboveground,0,0
route,0,0
in,0,0
bid,0,0
to,0,0
cut,0,0
cost,0,0
ontario,0,0
report,0,0
new,0.136363636,0.454545455
covid9,0,0
case,0,0
ford,0,0
again,0,0
pushing,0,0
for,0,0
more,0.5,0.5
vaccine,0,0
stand,0,0
with,0,0
u,0,0
antiasian,0,0
racism,0,0
in,0,0
canada,0,0
is,0,0
nothing,0,0
new,0.136363636,0.454545455
community,0,0
say,0,0
after,0,0
atlanta,0,0
shooting,0,0
york,0,0
police,0,0
seize,0,0
stolen,0,0
vehicle,0,0
worth,0.3,0.1
m,0,0
set,0,0
to,0,0
be,0,0
shipped,0,0
and,0,0
sold,0,0
overseas,0,0
launch,0,0
of,0,0
ontario,0,0
vaccination,0,0
hotline,0,0
wa,0,0
a,0,0
shamble,0,0
say,0,0
worker,0,0
hired,0,0
to,0,0
take,0,0
call,0,0
toronto,0,0
could,0,0
allow,0,0
outdoor,0,0
haircut,0,0
but,0,0
some,0,0
salon,0,0
say,0,0
that,0,0
could,0,0
be,0,0
tricky,0,0
for,0,0
two,0,0
year,0,0
these,0,0
syrian,0,0
newcomer,0,0
attended,0,0
a,0,0
weekly,0,0
writing,0,0
workshop,0,0
to,0,0
put,0,0
their,0,0
personal,0,0.3
story,0,0
on,0,0
paper,0,0
now,0,0
they,0,0
are,0,0
ready,0.2,0.5
to,0,0
have,0,0
their,0,0
story,0,0
collection,0,0
published,0,0
in,0,0
canada,0,0
they,0,0
grew,0,0
like,0,0
during,0,0
the,0,0
pandemic,0,0
and,0,0
now,0,0
this,0,0
bcbased,0,0
meatless,0,0
meat,0,0
company,0,0
is,0,0
coming,0,0
to,0,0
ontario,0,0
and,0,0
the,0,0
continent,0,0
