Words,Polarity,Subjectivity,Positive,Negative,Neutral
one,0,0,1,0,1
year,0,0,1,0,1
since,0,0,1,0,1
the,0,0,1,0,1
first,0.25,0.333333333,1,0,1
confirmed,0.4,1,1,0,1
case,0,0,1,0,1
of,0,0,1,0,1
covid9,0,0,1,0,1
in,0,0,1,0,1
an,0,0,1,0,1
ontario,0,0,1,0,1
a,0,0,1,0,1
new,0.136363636,0.454545455,1,0,1
report,0,0,1,0,1
by,0,0,1,0,1
thecanadian,0,0,1,0,1
civil,0,0,0,0,1
liberty,0,0,0,0,1
association,0,0,0,0,1
ccla,0,0,0,0,1
show,0,0,0,0,1
issue,0,0,0,0,1
like,0,0,0,0,1
overcrowding,0,0,0,0,1
persist,0,0,0,0,1
and,0,0,0,0,1
the,0,0,0,0,1
spread,0,0,0,0,1
of,0,0,0,0,1
variant,0,0,0,0,1
of,0,0,0,0,1
concern,0,0,0,0,1
outbreak,0,0,0,0,1
are,0,0,0,0,1
only,0,1,0,0,1
getting,0,0,0,0,1
ontario,0,0,0,0,1
reported,0,0,0,0,1
another,0,0,0,0,1
9,0,0,0,0,1
case,0,0,0,0,1
of,0,0,0,0,1
covid9,0,0,0,0,1
on,0,0,0,0,1
saturday,0,0,0,0,1
the,0,0,0,0,1
most,0.5,0.5,0,0,1
on,0,0,0,0,1
a,0,0,0,0,1
day,0,0,0,0,1
in,0,0,0,0,1
about,0,0,0,0,1
seven,0,0,0,0,1
weeksas,0,0,0,0,1
the,0,0,0,0,1
province,0,0,0,0,1
loosenedrestrictions,0,0,0,0,1
on,0,0,0,0,1
restaurant,0,0,0,0,1
in,0,0,0,0,1
some,0,0,0,0,1
of,0,0,0,0,1
the,0,0,0,0,1
hardesthit,0,0,0,0,1
region,0,0,0,0,1
a,0,0,0,0,1
person,0,0,0,0,1
ha,0,0,0,0,1
been,0,0,0,0,1
found,0,0,0,0,1
following,0,0.1,0,0,1
a,0,0,0,0,1
fire,0,0,0,0,1
at,0,0,0,0,1
an,0,0,0,0,1
apartment,0,0,0,0,1
building,0,0,0,0,1
in,0,0,0,0,1
mississauga,0,0,0,0,1
saturday,0,0,0,0,1
afternoon,0,0,0,0,1
police,0,0,0,0,1
say,0,0,0,0,1
a,0,0,0,0,1
ontario,0,0,0,0,1
ramp,0,0,0,0,1
up,0,0,0,0,1
it,0,0,0,0,1
immunization,0,0,0,0,1
effortsit,0,0,0,0,1
may,0,0,0,0,1
be,0,0,0,0,1
tempting,0,0,0,0,1
for,0,0,0,0,1
those,0,0,0,0,1
vaccinated,0,0,0,0,1
to,0,0,0,0,1
return,0,0,0,0,1
to,0,0,0,0,1
life,0,0,0,0,1
in,0,0,0,0,1
the,0,0,0,0,1
socalled,0,0,0,0,1
beforetimes,0,0,0,0,1
but,0,0,0,0,1
medical,0,0,0,0,1
expert,0,0,0,0,1
caution,0,0,0,0,1
a,0,0,0,0,1
first,0.25,0.333333333,0,0,1
dose,0,0,0,0,1
of,0,0,0,0,1
the,0,0,0,0,1
vaccineisnt,0,0,0,0,1
a,0,0,0,0,1
getoutofjailfree,0,0,0,0,1
card,0,0,0,0,1
spouse,0,0,0,0,1
waiting,0,0,0,0,1
for,0,0,0,0,1
their,0,0,0,0,1
loved,0.7,0.8,0,0,1
onesimmigration,0,0,0,0,1
paperwork,0,0,0,0,1
to,0,0,0,0,1
be,0,0,0,0,1
processed,0,0,0,0,1
for,0,0,0,0,1
over,0,0,0,0,1
a,0,0,0,0,1
yearare,0,0,0,0,1
speaking,0,0,0,0,1
out,0,0,0,0,1
after,0,0,0,0,1
they,0,0,0,0,1
say,0,0,0,0,1
application,0,0,0,0,1
sent,0,0,0,0,1
to,0,0,0,0,1
a,0,0,0,0,1
mississauga,0,0,0,0,1
ont,0,0,0,0,1
processing,0,0,0,0,1
office,0,0,0,0,1
have,0,0,0,0,1
stalled,0,0,0,0,1
completely,0.1,0.4,0,0,1
audio,0,0,0,0,1
spring,0,0,0,0,1
ha,0,0,0,0,1
arrived,0,0,0,0,1
here,0,0,0,0,1
are,0,0,0,0,1
binge,0,0,0,0,1
worthy,0.333333333,1,0,0,1
show,0,0,0,0,1
to,0,0,0,0,1
watch,0,0,0,0,1
this,0,0,0,0,1
season,0,0,0,0,1
history,0,0,0,0,1
month,0,0,0,0,1
videovideomeet,0,0,0,0,1
michael,0,0,0,0,1
london,0,0,0,0,1
one,0,0,0,0,1
of,0,0,0,0,1
toronto,0,0,0,0,1
interior,0,0,0,0,1
designer,0,0,0,0,1
ontario,0,0,0,0,1
to,0,0,0,0,1
expand,0,0,0,0,1
covid9,0,0,0,0,1
vaccine,0,0,0,0,1
program,0,0,0,0,1
a,0,0,0,0,1
province,0,0,0,0,1
see,0,0,0,0,1
new,0.136363636,0.454545455,0,0,1
case,0,0,0,0,1
school,0,0,0,0,1
in,0,0,0,0,1
dufferinpeel,0,0,0,0,1
catholic,0,0.1,0,0,1
board,0,0,0,0,1
to,0,0,0,0,1
covid9,0,0,0,0,1
outbreak,0,0,0,0,1
need,0,0,0,0,1
to,0,0,0,0,1
knowhow,0,0,0,0,1
to,0,0,0,0,1
get,0,0,0,0,1
a,0,0,0,0,1
covid9,0,0,0,0,1
vaccine,0,0,0,0,1
in,0,0,0,0,1
the,0,0,0,0,1
greater,0.5,0.5,0,0,1
toronto,0,0,0,0,1
area,0,0,0,0,1
if,0,0,0,0,1
you,0,0,0,0,1
qualify,0,0,0,0,1
ontario,0,0,0,0,1
to,0,0,0,0,1
finally,0,1,0,0,1
pull,0,0,0,0,1
the,0,0,0,0,1
plug,0,0,0,0,1
on,0,0,0,0,1
fax,0,0,0,0,1
machine,0,0,0,0,1
in,0,0,0,0,1
public,0,0.066666667,0,0,1
service,0,0,0,0,1
opinionto,0,0,0,0,1
help,0,0,0,0,1
end,0,0,0,0,1
the,0,0,0,0,1
pandemic,0,0,0,0,1
dont,0,0,0,0,1
pick,0,0,0,0,1
and,0,0,0,0,1
choose,0,0,0,0,1
take,0,0,0,0,1
the,0,0,0,0,1
first,0.25,0.333333333,0,0,1
vaccine,0,0,0,0,1
available,0.4,0.4,0,0,1
proposed,0,0,0,0,1
yongenorth,0,0,0,0,1
subway,0,0,0,0,1
extension,0,0,0,0,1
will,0,0,0,0,1
see,0,0,0,0,1
fewer,0,0,0,0,1
station,0,0,0,0,1
aboveground,0,0,0,0,1
route,0,0,0,0,1
in,0,0,0,0,1
bid,0,0,0,0,1
to,0,0,0,0,1
cut,0,0,0,0,1
cost,0,0,0,0,1
ontario,0,0,0,0,1
report,0,0,0,0,1
new,0.136363636,0.454545455,0,0,1
covid9,0,0,0,0,1
case,0,0,0,0,1
ford,0,0,0,0,1
again,0,0,0,0,1
pushing,0,0,0,0,1
for,0,0,0,0,1
more,0.5,0.5,0,0,1
vaccine,0,0,0,0,1
stand,0,0,0,0,1
with,0,0,0,0,1
u,0,0,0,0,1
antiasian,0,0,0,0,1
racism,0,0,0,0,1
in,0,0,0,0,1
canada,0,0,0,0,1
is,0,0,0,0,1
nothing,0,0,0,0,1
new,0.136363636,0.454545455,0,0,1
community,0,0,0,0,1
say,0,0,0,0,1
after,0,0,0,0,1
atlanta,0,0,0,0,1
shooting,0,0,0,0,1
york,0,0,0,0,1
police,0,0,0,0,1
seize,0,0,0,0,1
stolen,0,0,0,0,1
vehicle,0,0,0,0,1
worth,0.3,0.1,0,0,1
m,0,0,0,0,1
set,0,0,0,0,1
to,0,0,0,0,1
be,0,0,0,0,1
shipped,0,0,0,0,1
and,0,0,0,0,1
sold,0,0,0,0,1
overseas,0,0,0,0,1
launch,0,0,0,0,1
of,0,0,0,0,1
ontario,0,0,0,0,1
vaccination,0,0,0,0,1
hotline,0,0,0,0,1
wa,0,0,0,0,1
a,0,0,0,0,1
shamble,0,0,0,0,1
say,0,0,0,0,1
worker,0,0,0,0,1
hired,0,0,0,0,1
to,0,0,0,0,1
take,0,0,0,0,1
call,0,0,0,0,1
toronto,0,0,0,0,1
could,0,0,0,0,1
allow,0,0,0,0,1
outdoor,0,0,0,0,1
haircut,0,0,0,0,1
but,0,0,0,0,1
some,0,0,0,0,1
salon,0,0,0,0,1
say,0,0,0,0,1
that,0,0,0,0,1
could,0,0,0,0,1
be,0,0,0,0,1
tricky,0,0,0,0,1
for,0,0,0,0,1
two,0,0,0,0,1
year,0,0,0,0,1
these,0,0,0,0,1
syrian,0,0,0,0,1
newcomer,0,0,0,0,1
attended,0,0,0,0,1
a,0,0,0,0,1
weekly,0,0,0,0,1
writing,0,0,0,0,1
workshop,0,0,0,0,1
to,0,0,0,0,1
put,0,0,0,0,1
their,0,0,0,0,1
personal,0,0.3,0,0,1
story,0,0,0,0,1
on,0,0,0,0,1
paper,0,0,0,0,1
now,0,0,0,0,1
they,0,0,0,0,1
are,0,0,0,0,1
ready,0.2,0.5,0,0,1
to,0,0,0,0,1
